Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,34.0,1.0,34.0,34.0,0.0,70.10216011222207,70.10216011222207,0.0,0.0,,,,,,,,,,,,,,,,31.399948005174753,27.789592792338553,69.10366554559167,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,48.0,2.0,14.0,48.0,0.0,15.405903490491616,15.405903490491616,0.0,1.47286057472229,,,,,,,,,,,,,,,,7.338121995580393,5.780333609092664,15.318488270824314,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,73.0,3.0,25.0,73.0,0.0,42.357133333583796,42.357133333583796,0.0,3.636770725250244,,,,,,,,,,,,,,,,19.589405419387887,16.36875289574046,41.909307505604716,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,102.0,4.0,29.0,102.0,0.0,81.41685436241242,81.41685436241242,0.0,6.038606405258179,,,,,,,,,,,,,,,,44.24065395194003,30.17860524981047,80.21408948729345,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,119.0,5.0,17.0,119.0,0.0,20.472677674978804,20.472677674978804,0.0,7.686089277267456,,,,,,,,,,,,,,,,9.123753473812243,7.9816694996908755,20.33791177770169,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,142.0,6.0,23.0,142.0,0.0,33.21457247205966,33.21457247205966,0.0,10.308212518692017,,,,,,,,,,,,,,,,14.548966281556966,12.930665637236745,32.912859106690554,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,182.0,7.0,40.0,182.0,0.0,222.58789140740407,222.58789140740407,0.0,13.54526424407959,,,,,,,,,,,,,,,,137.41251546215284,74.70645830295209,217.30869948840635,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,213.0,8.0,31.0,213.0,0.0,120.62152847635583,120.62152847635583,0.0,16.087851762771606,,,,,,,,,,,,,,,,71.77968195484445,41.692288570261255,118.51487320896463,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,230.0,9.0,17.0,230.0,0.0,24.747460261459132,24.747460261459132,0.0,17.74936580657959,,,,,,,,,,,,,,,,11.764356336170433,9.504399375222606,24.572038241986217,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,258.0,10.0,28.0,258.0,0.0,82.43183903726599,82.43183903726599,0.0,20.0832359790802,,,,,,,,,,,,,,,,51.87538287900451,26.17478970213357,81.06038870535922,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0,0.0,271.0,11.0,13.0,271.0,0.0,11.925918889729234,11.925918889729234,0.0,21.3795804977417,,,,,,,,,,,,,,,,5.4490257201227905,4.475335708478532,11.86694850387151,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0,0.0,290.0,12.0,19.0,290.0,0.0,37.70598302961152,37.70598302961152,0.0,23.043961763381958,,,,,,,,,,,,,,,,20.152486113664004,13.951021311971033,37.36044623969159,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.0,0.0,305.0,13.0,15.0,305.0,0.0,12.062060335699995,12.062060335699995,0.0,24.580292463302612,,,,,,,,,,,,,,,,4.772248545621759,4.615210990003427,12.002479086602273,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.0,0.0,328.0,14.0,23.0,328.0,0.0,35.58474525711909,35.58474525711909,0.0,26.9128098487854,,,,,,,,,,,,,,,,16.476172267701024,13.65074655498374,35.241034329291274,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.0,0.0,343.0,15.0,15.0,343.0,0.0,17.74523332705117,17.74523332705117,0.0,28.421172380447388,,,,,,,,,,,,,,,,8.181610040179997,6.8697886183020085,17.640149325774242,1e-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
